,Id,Zoomed_Image_Data
10,LIDC-IDRI-0078-11,"[[0.67843137 0.68235294 0.69411765 ... 0.66666667 0.6627451  0.66666667]
 [0.71764706 0.70196078 0.70196078 ... 0.6627451  0.66666667 0.6627451 ]
 [0.74901961 0.76078431 0.74117647 ... 0.66666667 0.65882353 0.6627451 ]
 ...
 [0.06666667 0.07058824 0.05490196 ... 0.09803922 0.09019608 0.08627451]
 [0.08627451 0.08627451 0.06666667 ... 0.03921569 0.04313725 0.05490196]
 [0.09803922 0.11372549 0.12156863 ... 0.00392157 0.00392157 0.01568627]]"
11,LIDC-IDRI-0078-12,"[[0.63921569 0.63921569 0.63921569 ... 0.54901961 0.55686275 0.56862745]
 [0.63529412 0.63921569 0.63921569 ... 0.54117647 0.55294118 0.56862745]
 [0.63137255 0.62352941 0.63529412 ... 0.54509804 0.54117647 0.56470588]
 ...
 [0.03921569 0.04313725 0.04313725 ... 0.05098039 0.05098039 0.05098039]
 [0.04313725 0.05098039 0.04313725 ... 0.05098039 0.05490196 0.06666667]
 [0.03921569 0.03921569 0.03529412 ... 0.05882353 0.05882353 0.06666667]]"
12,LIDC-IDRI-0078-13,"[[0.98431373 0.97254902 0.96470588 ... 0.05882353 0.05882353 0.05490196]
 [0.98431373 0.98039216 0.97647059 ... 0.09803922 0.08627451 0.08235294]
 [0.99607843 0.98039216 0.96078431 ... 0.1254902  0.1254902  0.1372549 ]
 ...
 [0.84313725 0.84313725 0.83529412 ... 0.16470588 0.18039216 0.14117647]
 [0.86666667 0.85490196 0.86666667 ... 0.15686275 0.17254902 0.15294118]
 [0.89803922 0.85490196 0.8627451  ... 0.21176471 0.19607843 0.15294118]]"
13,LIDC-IDRI-0069-1,"[[0.06666667 0.07843137 0.08235294 ... 0.11764706 0.14117647 0.14901961]
 [0.09803922 0.11764706 0.09411765 ... 0.11372549 0.11372549 0.1254902 ]
 [0.09411765 0.10588235 0.1372549  ... 0.1254902  0.1254902  0.08627451]
 ...
 [0.69803922 0.6627451  0.62352941 ... 0.58823529 0.60392157 0.61176471]
 [0.59607843 0.58431373 0.56078431 ... 0.49019608 0.46666667 0.4627451 ]
 [0.5372549  0.55686275 0.57254902 ... 0.63529412 0.61960784 0.60392157]]"
14,LIDC-IDRI-0069-2,"[[0.04705882 0.05098039 0.03921569 ... 0.58823529 0.55686275 0.56862745]
 [0.05098039 0.04705882 0.05098039 ... 0.57647059 0.56470588 0.56862745]
 [0.05098039 0.05490196 0.05490196 ... 0.57647059 0.57254902 0.57647059]
 ...
 [0.07843137 0.05098039 0.07058824 ... 0.62352941 0.63921569 0.68627451]
 [0.09019608 0.09803922 0.10588235 ... 0.63921569 0.67058824 0.69411765]
 [0.11372549 0.10196078 0.08235294 ... 0.67843137 0.69803922 0.70980392]]"
15,LIDC-IDRI-0069-3,"[[0.6745098  0.70196078 0.70196078 ... 0.15294118 0.1372549  0.08627451]
 [0.69803922 0.6745098  0.68627451 ... 0.1372549  0.09411765 0.05882353]
 [0.6745098  0.68235294 0.68235294 ... 0.1254902  0.07843137 0.0745098 ]
 ...
 [0.63137255 0.60784314 0.60784314 ... 0.77254902 0.70196078 0.69411765]
 [0.65882353 0.63921569 0.62745098 ... 0.75686275 0.74901961 0.74117647]
 [0.69019608 0.6627451  0.6745098  ... 0.73333333 0.71372549 0.75294118]]"
16,LIDC-IDRI-0069-4,"[[0.10980392 0.09019608 0.08627451 ... 0.14117647 0.1254902  0.1254902 ]
 [0.09411765 0.10588235 0.10980392 ... 0.10588235 0.11764706 0.1254902 ]
 [0.09019608 0.08235294 0.09019608 ... 0.1372549  0.11764706 0.10980392]
 ...
 [0.74117647 0.72156863 0.70980392 ... 0.52156863 0.49411765 0.47058824]
 [0.57647059 0.57254902 0.56470588 ... 0.6        0.62745098 0.62745098]
 [0.54901961 0.55686275 0.60392157 ... 0.51372549 0.54117647 0.57647059]]"
17,LIDC-IDRI-0069-5,"[[0.7254902  0.7254902  0.75686275 ... 0.25098039 0.20392157 0.08235294]
 [0.7372549  0.72941176 0.72941176 ... 0.17254902 0.15294118 0.09411765]
 [0.71764706 0.7254902  0.69803922 ... 0.11372549 0.10196078 0.09019608]
 ...
 [0.68627451 0.67843137 0.68627451 ... 0.72941176 0.70196078 0.71372549]
 [0.68627451 0.70196078 0.71764706 ... 0.76470588 0.79607843 0.78431373]
 [0.67843137 0.69803922 0.70196078 ... 0.7254902  0.75294118 0.76470588]]"
18,LIDC-IDRI-0069-6,"[[0.50980392 0.37647059 0.2        ... 0.05098039 0.05098039 0.05098039]
 [0.56078431 0.4745098  0.30588235 ... 0.03921569 0.05098039 0.06666667]
 [0.55686275 0.48627451 0.34509804 ... 0.07058824 0.05882353 0.0627451 ]
 ...
 [0.61176471 0.6        0.6        ... 0.5372549  0.51372549 0.51372549]
 [0.55294118 0.56078431 0.61176471 ... 0.6        0.61568627 0.61176471]
 [0.56078431 0.53333333 0.54117647 ... 0.59607843 0.59215686 0.57647059]]"
19,LIDC-IDRI-0069-7,"[[0.57254902 0.56078431 0.55294118 ... 0.07843137 0.09019608 0.08235294]
 [0.52156863 0.53333333 0.54509804 ... 0.0745098  0.08235294 0.09411765]
 [0.50980392 0.52941176 0.52156863 ... 0.05490196 0.09411765 0.06666667]
 ...
 [0.89019608 0.91764706 0.8627451  ... 0.63529412 0.62745098 0.63137255]
 [0.89019608 0.95294118 1.         ... 0.57647059 0.57647059 0.58823529]
 [0.73333333 0.79607843 0.81960784 ... 0.65490196 0.60784314 0.59215686]]"
20,LIDC-IDRI-0069-8,"[[0.07843137 0.09411765 0.10588235 ... 0.10980392 0.10588235 0.11764706]
 [0.08235294 0.09019608 0.08235294 ... 0.11764706 0.1372549  0.11764706]
 [0.06666667 0.06666667 0.07843137 ... 0.10980392 0.11764706 0.14117647]
 ...
 [0.59215686 0.57647059 0.57254902 ... 0.59215686 0.6        0.62745098]
 [0.54117647 0.54901961 0.55686275 ... 0.49803922 0.51372549 0.54117647]
 [0.68235294 0.69803922 0.6627451  ... 0.58431373 0.58823529 0.60392157]]"
21,LIDC-IDRI-0069-9,"[[0.55294118 0.56470588 0.54901961 ... 0.0745098  0.09803922 0.07843137]
 [0.5372549  0.54509804 0.55294118 ... 0.09019608 0.10588235 0.09803922]
 [0.49803922 0.50196078 0.49803922 ... 0.11372549 0.09803922 0.07843137]
 ...
 [0.48235294 0.46666667 0.46666667 ... 0.64705882 0.64705882 0.63921569]
 [0.65098039 0.6        0.55294118 ... 0.63529412 0.63137255 0.65490196]
 [0.9254902  0.79607843 0.69411765 ... 0.6        0.61568627 0.61176471]]"
22,LIDC-IDRI-0079-1,"[[0.11372549 0.10196078 0.06666667 ... 0.11764706 0.0745098  0.05882353]
 [0.15686275 0.1254902  0.10196078 ... 0.10196078 0.08627451 0.0745098 ]
 [0.20392157 0.18431373 0.17254902 ... 0.09803922 0.09019608 0.07843137]
 ...
 [0.77254902 0.77647059 0.78823529 ... 0.67843137 0.65490196 0.65490196]
 [0.78823529 0.78039216 0.78039216 ... 0.68235294 0.69019608 0.69019608]
 [0.78431373 0.79215686 0.78823529 ... 0.67058824 0.69019608 0.69019608]]"
23,LIDC-IDRI-0079-2,"[[0.12156863 0.12156863 0.11372549 ... 0.15686275 0.14901961 0.11764706]
 [0.18039216 0.17254902 0.15686275 ... 0.10196078 0.11372549 0.10196078]
 [0.2        0.21568627 0.20392157 ... 0.07058824 0.08627451 0.09803922]
 ...
 [0.79607843 0.78039216 0.77254902 ... 0.66666667 0.67843137 0.67843137]
 [0.78823529 0.79607843 0.78823529 ... 0.6745098  0.6745098  0.68235294]
 [0.77647059 0.77254902 0.78431373 ... 0.68235294 0.6745098  0.67058824]]"
24,LIDC-IDRI-0079-3,"[[0.29803922 0.36862745 0.44313725 ... 0.07843137 0.08627451 0.09411765]
 [0.34509804 0.45490196 0.53333333 ... 0.07843137 0.09019608 0.10588235]
 [0.39607843 0.53333333 0.57254902 ... 0.04313725 0.0745098  0.07843137]
 ...
 [0.78039216 0.77254902 0.78431373 ... 0.6627451  0.6745098  0.6745098 ]
 [0.8        0.81960784 0.81960784 ... 0.69411765 0.67058824 0.68235294]
 [0.79215686 0.80784314 0.80784314 ... 0.70196078 0.6745098  0.68627451]]"
25,LIDC-IDRI-0079-4,"[[0.21568627 0.20392157 0.18431373 ... 0.08627451 0.09803922 0.09019608]
 [0.21960784 0.25098039 0.28235294 ... 0.08235294 0.07058824 0.06666667]
 [0.2627451  0.29803922 0.36862745 ... 0.08235294 0.07843137 0.08627451]
 ...
 [0.77254902 0.78431373 0.79215686 ... 0.6745098  0.67058824 0.69019608]
 [0.79215686 0.8        0.79607843 ... 0.68627451 0.68235294 0.67843137]
 [0.78823529 0.78039216 0.77254902 ... 0.66666667 0.6627451  0.6745098 ]]"
26,LIDC-IDRI-0101-1,"[[0.21960784 0.4627451  0.58431373 ... 0.0627451  0.06666667 0.0745098 ]
 [0.23137255 0.4745098  0.58431373 ... 0.06666667 0.07058824 0.0745098 ]
 [0.25098039 0.49411765 0.58823529 ... 0.07843137 0.0745098  0.0745098 ]
 ...
 [0.01568627 0.01568627 0.00784314 ... 0.0627451  0.09803922 0.1254902 ]
 [0.01960784 0.02352941 0.01176471 ... 0.05490196 0.09019608 0.13333333]
 [0.01176471 0.00784314 0.00784314 ... 0.05882353 0.07843137 0.11372549]]"
27,LIDC-IDRI-0101-2,"[[0.4627451  0.58431373 0.59215686 ... 0.06666667 0.0745098  0.0745098 ]
 [0.4745098  0.58431373 0.58823529 ... 0.07058824 0.0745098  0.0745098 ]
 [0.49411765 0.58823529 0.57647059 ... 0.0745098  0.0745098  0.0745098 ]
 ...
 [0.01568627 0.00784314 0.00784314 ... 0.09803922 0.1254902  0.14117647]
 [0.02352941 0.01176471 0.00784314 ... 0.09019608 0.13333333 0.15294118]
 [0.00784314 0.00784314 0.00784314 ... 0.07843137 0.11372549 0.14117647]]"
28,LIDC-IDRI-0110-1,"[[0.43921569 0.28627451 0.12156863 ... 0.03529412 0.03529412 0.04313725]
 [0.49019608 0.34901961 0.17254902 ... 0.03529412 0.03921569 0.07058824]
 [0.57254902 0.42352941 0.23529412 ... 0.04705882 0.05490196 0.06666667]
 ...
 [0.49411765 0.50196078 0.49803922 ... 0.58823529 0.61960784 0.63921569]
 [0.50196078 0.50588235 0.50196078 ... 0.57254902 0.57254902 0.57647059]
 [0.48627451 0.49803922 0.49411765 ... 0.55294118 0.54901961 0.53333333]]"
29,LIDC-IDRI-0110-2,"[[0.0745098  0.05882353 0.03529412 ... 0.07843137 0.09411765 0.18431373]
 [0.0745098  0.0745098  0.04313725 ... 0.09411765 0.15686275 0.27843137]
 [0.05882353 0.04705882 0.03137255 ... 0.1372549  0.25490196 0.36078431]
 ...
 [0.4745098  0.48235294 0.49803922 ... 0.5254902  0.51372549 0.52156863]
 [0.55686275 0.58823529 0.59215686 ... 0.52156863 0.50980392 0.52941176]
 [0.6745098  0.69803922 0.70196078 ... 0.51372549 0.50588235 0.52156863]]"
30,LIDC-IDRI-0110-3,"[[0.43921569 0.28627451 0.12156863 ... 0.03529412 0.03529412 0.04313725]
 [0.49019608 0.34901961 0.17254902 ... 0.03529412 0.03921569 0.07058824]
 [0.57254902 0.42352941 0.23529412 ... 0.04705882 0.05490196 0.06666667]
 ...
 [0.49411765 0.50196078 0.49803922 ... 0.58823529 0.61960784 0.63921569]
 [0.50196078 0.50588235 0.50196078 ... 0.57254902 0.57254902 0.57647059]
 [0.48627451 0.49803922 0.49411765 ... 0.55294118 0.54901961 0.53333333]]"
31,LIDC-IDRI-0110-4,"[[0.06666667 0.05098039 0.03137255 ... 0.05490196 0.0745098  0.09803922]
 [0.0745098  0.05882353 0.03529412 ... 0.07843137 0.09411765 0.18431373]
 [0.0745098  0.0745098  0.04313725 ... 0.09411765 0.15686275 0.27843137]
 ...
 [0.46666667 0.47058824 0.48235294 ... 0.50196078 0.49411765 0.49803922]
 [0.4745098  0.48235294 0.49803922 ... 0.5254902  0.51372549 0.52156863]
 [0.55686275 0.58823529 0.59215686 ... 0.52156863 0.50980392 0.52941176]]"
32,LIDC-IDRI-0110-5,"[[0.43921569 0.20392157 0.0745098  ... 0.11372549 0.15686275 0.1254902 ]
 [0.54509804 0.27058824 0.10980392 ... 0.10196078 0.14117647 0.09019608]
 [0.65098039 0.34509804 0.15686275 ... 0.08235294 0.10196078 0.07843137]
 ...
 [0.49411765 0.50980392 0.50588235 ... 0.74509804 0.80392157 0.85490196]
 [0.4745098  0.49411765 0.50980392 ... 0.62352941 0.64705882 0.67058824]
 [0.4745098  0.49411765 0.50980392 ... 0.6        0.59607843 0.60392157]]"
33,LIDC-IDRI-0110-6,"[[0.05882353 0.03529412 0.03529412 ... 0.09411765 0.18431373 0.31764706]
 [0.0745098  0.04313725 0.03137255 ... 0.15686275 0.27843137 0.4       ]
 [0.04705882 0.03137255 0.03137255 ... 0.25490196 0.36078431 0.42745098]
 ...
 [0.48235294 0.49803922 0.48235294 ... 0.51372549 0.52156863 0.52941176]
 [0.58823529 0.59215686 0.57647059 ... 0.50980392 0.52941176 0.53333333]
 [0.69803922 0.70196078 0.71764706 ... 0.50588235 0.52156863 0.50588235]]"
34,LIDC-IDRI-0115-1,"[[0.52941176 0.54117647 0.55294118 ... 0.06666667 0.07058824 0.06666667]
 [0.5372549  0.54901961 0.55294118 ... 0.07843137 0.08235294 0.07843137]
 [0.54901961 0.54901961 0.55294118 ... 0.09019608 0.09019608 0.08235294]
 ...
 [0.65882353 0.66666667 0.67058824 ... 0.78039216 0.8        0.81568627]
 [0.61960784 0.63137255 0.63921569 ... 0.74509804 0.76470588 0.78823529]
 [0.59607843 0.60784314 0.62745098 ... 0.76470588 0.78823529 0.80784314]]"
35,LIDC-IDRI-0115-2,"[[0.53333333 0.54117647 0.54509804 ... 0.0745098  0.07058824 0.07058824]
 [0.52941176 0.54117647 0.55294118 ... 0.06666667 0.07058824 0.06666667]
 [0.5372549  0.54901961 0.55294118 ... 0.07843137 0.08235294 0.07843137]
 ...
 [0.6627451  0.66666667 0.6627451  ... 0.84705882 0.85882353 0.86666667]
 [0.65882353 0.66666667 0.67058824 ... 0.78039216 0.8        0.81568627]
 [0.61960784 0.63137255 0.63921569 ... 0.74509804 0.76470588 0.78823529]]"
36,LIDC-IDRI-0115-3,"[[0.54117647 0.54509804 0.55294118 ... 0.07058824 0.07058824 0.06666667]
 [0.54117647 0.55294118 0.56078431 ... 0.07058824 0.06666667 0.0627451 ]
 [0.54901961 0.55294118 0.55294118 ... 0.08235294 0.07843137 0.07058824]
 ...
 [0.66666667 0.6627451  0.65882353 ... 0.85882353 0.86666667 0.88235294]
 [0.66666667 0.67058824 0.66666667 ... 0.8        0.81568627 0.82352941]
 [0.63137255 0.63921569 0.65490196 ... 0.76470588 0.78823529 0.8       ]]"
37,LIDC-IDRI-0115-4,"[[0.5372549  0.54509804 0.54901961 ... 0.07058824 0.07058824 0.07058824]
 [0.53333333 0.54117647 0.54509804 ... 0.0745098  0.07058824 0.07058824]
 [0.52941176 0.54117647 0.55294118 ... 0.06666667 0.07058824 0.06666667]
 ...
 [0.64705882 0.65098039 0.64705882 ... 0.8        0.81568627 0.82745098]
 [0.6627451  0.66666667 0.6627451  ... 0.84705882 0.85882353 0.86666667]
 [0.65882353 0.66666667 0.67058824 ... 0.78039216 0.8        0.81568627]]"
38,LIDC-IDRI-0132-1,"[[0.0627451  0.05882353 0.05490196 ... 0.65490196 0.65882353 0.66666667]
 [0.06666667 0.0627451  0.05882353 ... 0.65490196 0.65490196 0.6627451 ]
 [0.07843137 0.06666667 0.0627451  ... 0.65882353 0.6627451  0.66666667]
 ...
 [0.14117647 0.09803922 0.07058824 ... 0.67843137 0.6745098  0.6745098 ]
 [0.1254902  0.09411765 0.0745098  ... 0.67058824 0.66666667 0.67058824]
 [0.1254902  0.09019608 0.07058824 ... 0.65882353 0.6627451  0.6745098 ]]"
39,LIDC-IDRI-0132-2,"[[0.09019608 0.07843137 0.05098039 ... 0.02745098 0.01568627 0.00784314]
 [0.0745098  0.0627451  0.04705882 ... 0.02745098 0.01568627 0.00392157]
 [0.0745098  0.05882353 0.04705882 ... 0.03137255 0.02352941 0.00392157]
 ...
 [0.85882353 0.87058824 0.85098039 ... 0.01568627 0.01176471 0.02352941]
 [0.86666667 0.8745098  0.84705882 ... 0.02745098 0.02745098 0.03529412]
 [0.85490196 0.87058824 0.85490196 ... 0.03529412 0.03921569 0.05098039]]"
40,LIDC-IDRI-0132-3,"[[0.00392157 0.00392157 0.00392157 ... 0.15686275 0.16470588 0.1372549 ]
 [0.         0.         0.         ... 0.17254902 0.18823529 0.15686275]
 [0.         0.         0.         ... 0.17254902 0.18823529 0.16470588]
 ...
 [0.7372549  0.74117647 0.7372549  ... 0.15686275 0.18039216 0.21176471]
 [0.73333333 0.7372549  0.73333333 ... 0.15686275 0.18823529 0.24705882]
 [0.7372549  0.7372549  0.73333333 ... 0.18431373 0.23137255 0.30588235]]"
41,LIDC-IDRI-0132-4,"[[0.05882353 0.05490196 0.04705882 ... 0.63921569 0.65098039 0.6627451 ]
 [0.05882353 0.05882353 0.05490196 ... 0.63921569 0.65882353 0.66666667]
 [0.06666667 0.0627451  0.05882353 ... 0.63921569 0.65490196 0.65882353]
 ...
 [0.17254902 0.13333333 0.10588235 ... 0.69019608 0.68627451 0.67843137]
 [0.21176471 0.14117647 0.10196078 ... 0.68627451 0.68627451 0.68235294]
 [0.21960784 0.14117647 0.09803922 ... 0.68627451 0.67843137 0.6745098 ]]"
42,LIDC-IDRI-0132-5,"[[0.04705882 0.05098039 0.0627451  ... 0.02352941 0.03137255 0.04313725]
 [0.05882353 0.0627451  0.07058824 ... 0.01960784 0.02352941 0.03529412]
 [0.05490196 0.07058824 0.09803922 ... 0.01568627 0.02745098 0.05098039]
 ...
 [0.8627451  0.8627451  0.8745098  ... 0.81568627 0.82352941 0.83921569]
 [0.85882353 0.85882353 0.86666667 ... 0.83921569 0.83921569 0.83529412]
 [0.85490196 0.8627451  0.86666667 ... 0.85882353 0.8627451  0.85490196]]"
43,LIDC-IDRI-0132-6,"[[0.11372549 0.10588235 0.10196078 ... 0.68235294 0.66666667 0.63921569]
 [0.10588235 0.09803922 0.09803922 ... 0.6745098  0.65098039 0.63137255]
 [0.10588235 0.09411765 0.09803922 ... 0.6627451  0.63529412 0.62352941]
 ...
 [0.09411765 0.10196078 0.12156863 ... 0.81176471 0.80784314 0.80392157]
 [0.08235294 0.09411765 0.11372549 ... 0.81568627 0.81960784 0.81568627]
 [0.08627451 0.09803922 0.12156863 ... 0.81568627 0.81960784 0.81568627]]"
44,LIDC-IDRI-0132-7,"[[0.05490196 0.07058824 0.05882353 ... 0.03529412 0.02352941 0.01568627]
 [0.0627451  0.07058824 0.05490196 ... 0.03529412 0.02745098 0.01960784]
 [0.0745098  0.0627451  0.04313725 ... 0.03921569 0.03529412 0.02745098]
 ...
 [0.78431373 0.81568627 0.82352941 ... 0.02745098 0.02745098 0.02352941]
 [0.79607843 0.80784314 0.82352941 ... 0.03137255 0.03137255 0.03921569]
 [0.80392157 0.78431373 0.8        ... 0.04313725 0.02745098 0.03529412]]"
45,LIDC-IDRI-0132-8,"[[0.07058824 0.05098039 0.04313725 ... 0.06666667 0.1372549  0.28235294]
 [0.0627451  0.05490196 0.0627451  ... 0.0627451  0.1254902  0.23529412]
 [0.05490196 0.05490196 0.08235294 ... 0.06666667 0.10980392 0.18431373]
 ...
 [0.05882353 0.05098039 0.05490196 ... 0.05098039 0.04313725 0.03921569]
 [0.09019608 0.05882353 0.05490196 ... 0.04705882 0.04705882 0.04313725]
 [0.17254902 0.08627451 0.05490196 ... 0.05098039 0.05098039 0.04705882]]"
46,LIDC-IDRI-0132-9,"[[0.0627451  0.05882353 0.05098039 ... 0.63529412 0.63921569 0.65098039]
 [0.05882353 0.05490196 0.04705882 ... 0.63921569 0.65098039 0.6627451 ]
 [0.05882353 0.05882353 0.05490196 ... 0.63921569 0.65882353 0.66666667]
 ...
 [0.1254902  0.10980392 0.09411765 ... 0.68627451 0.68235294 0.6745098 ]
 [0.17254902 0.13333333 0.10588235 ... 0.69019608 0.68627451 0.67843137]
 [0.21176471 0.14117647 0.10196078 ... 0.68627451 0.68627451 0.68235294]]"
47,LIDC-IDRI-0132-10,"[[0.0627451  0.08627451 0.07058824 ... 0.03137255 0.02745098 0.01568627]
 [0.05490196 0.07058824 0.05882353 ... 0.03529412 0.02352941 0.01568627]
 [0.0627451  0.07058824 0.05490196 ... 0.03529412 0.02745098 0.01960784]
 ...
 [0.78039216 0.81176471 0.82352941 ... 0.01960784 0.01568627 0.01176471]
 [0.78431373 0.81568627 0.82352941 ... 0.02745098 0.02745098 0.02352941]
 [0.79607843 0.80784314 0.82352941 ... 0.03137255 0.03137255 0.03921569]]"
48,LIDC-IDRI-0132-11,"[[0.07843137 0.05490196 0.04313725 ... 0.34901961 0.60392157 0.81176471]
 [0.05882353 0.04313725 0.04313725 ... 0.41176471 0.6627451  0.84705882]
 [0.04705882 0.04705882 0.05882353 ... 0.47058824 0.70196078 0.85882353]
 ...
 [0.03921569 0.04705882 0.05098039 ... 0.07843137 0.0745098  0.06666667]
 [0.04313725 0.03921569 0.04705882 ... 0.08627451 0.07843137 0.0745098 ]
 [0.08627451 0.04705882 0.04705882 ... 0.0627451  0.05882353 0.06666667]]"
49,LIDC-IDRI-0132-12,"[[0.10588235 0.10196078 0.10196078 ... 0.66666667 0.63921569 0.63529412]
 [0.09803922 0.09803922 0.09803922 ... 0.65098039 0.63137255 0.62745098]
 [0.09411765 0.09803922 0.09803922 ... 0.63529412 0.62352941 0.62352941]
 ...
 [0.10196078 0.12156863 0.13333333 ... 0.80784314 0.80392157 0.79607843]
 [0.09411765 0.11372549 0.13333333 ... 0.81960784 0.81568627 0.81568627]
 [0.09803922 0.12156863 0.14117647 ... 0.81960784 0.81568627 0.81568627]]"
